FacilityID,FacilityName,FacilityCity,FacilityAddress,OwnerID
FA0064949,KRUANG TEDD,LOS ANGELES,5151 HOLLYWOOD BLVD,OW0001034
FA0224114,SPROUTS FARMERS MARKET#403,LOS ANGELES,2245 YOSEMITE DR,OW0033830
FA0022748,LOS ANGELES NEW YORK PIZZA,LOS ANGELES,518 W 6TH ST,OW0017480
FA0051619,THE BAGEL FACTORY,LOS ANGELES,8984 CADILLAC AVE,OW0031653
FA0017227,CREPE EXPRESS,LOS ANGELES,529 W 6TH ST,OW0035638
FA0164713,LA LUNA RESTAURANT,LOS ANGELES,2333 E 1ST ST,OW0128031
FA0051180,TARGET,LOS ANGELES,735 S FIGUEROA ST,OW0035036
FA0258015,KAISH,LOS ANGELES,200 S LOS ANGELES ST STE B,OW0250301
FA0052445,TRADER JOE'S #55,LOS ANGELES,1556 COLORADO BLVD,OW0036363
FA0258130,KOBUNGA KOREAN GRILL,LOS ANGELES,929 W JEFFERSON BLVD,OW0238756
FA0258138,K&A CATON CHINESE REST.,LOS ANGELES,9840 NATIONAL BLVD,OW0250387
FA0066874,MI RANCHITO,LOS ANGELES,2325 E 1ST ST,OW0015333
FA0066673,MCDONALD'S #4589,LOS ANGELES,2020 W OLYMPIC BLVD,OW0012761
FA0060705,DEL TACO #162,LOS ANGELES,3020 W LOS FELIZ BLVD,OW0009661
FA0245856,FIX CAFE,LOS ANGELES,421 W 7TH ST,OW0240830
FA0159215,CUSTOM HOTEL,LOS ANGELES,8639 LINCOLN BLVD,OW0124236
FA0011503,C & M CAFE,LOS ANGELES,5905 WILSHIRE BLVD,OW0035686
FA0250720,JUICE N FRUIT,LOS ANGELES,3025 S VERMONT AVE,OW0244783
FA0158295,D-TOWN BURGER BAR,LOS ANGELES,216 W 6TH ST,OW0014073
FA0048465,SILOM SUPER MARKET,LOS ANGELES,5321 HOLLYWOOD BLVD,OW0004642
FA0257916,LA PERGOLETTO DELI,LOS ANGELES,1800 1/2 HILLHURST AVE,OW0126873
FA0240929,O JANG DONG RESTAURANT,LOS ANGELES,4031 W 3RD ST,OW0236942
FA0044033,PARU'S INDIAN RESTAURANT,LOS ANGELES,5140 W SUNSET BLVD,OW0027941
FA0163135,MADAME MONSIEUR,LOS ANGELES,512 W 6TH ST,OW0126803
FA0045842,RALPHS MARKET #210,LOS ANGELES,11727 W OLYMPIC BLVD,OW0029458
FA0006925,CAFE DELI E PARK CENTRAL BLD,LOS ANGELES,412 W 6TH ST STE 101,OW0007580
FA0258145,SUSHI AI,LOS ANGELES,1972 HILLHURST AVE,OW0250394
FA0060645,DARABAR SECRET THAI CUISINE,LOS ANGELES,5112 HOLLYWOOD BLVD # 108-0,OW0032106
FA0255619,WAHLBURGERS,LOS ANGELES,835 W JEFFERSON BLVD # 7A-B,OW0248522
FA0255889,KS MARKET,LOS ANGELES,8277 S SAN PEDRO ST,OW0248726
FA0026579,NORTHGATE MARKET,LOS ANGELES,2323 W OLYMPIC BLVD,OW0026268
FA0039917,VISTA DEL MAR FOOD SERVICE A,LOS ANGELES,3200 MOTOR AVE,OW0002888
FA0160148,OHM NIGHT CLUB,LOS ANGELES,6801 HOLLYWOOD BLVD # 433,OW0125130
FA0171623,SHOP RITE BROTHERS,LOS ANGELES,1553 MANCHESTER AVE,OW0178692
FA0037748,MARISCOS EL KORA LE NAYARIT,LOS ANGELES,4863 HUNTINGTON DR N,OW0030054
FA0018157,ISKCON KRISHNA TEMPLE,LOS ANGELES,3764 WATSEKA AVE,OW0017040
FA0049668,PIZZA HUT #26183,LOS ANGELES,6312 W 89TH ST,OW0033717
FA0066010,LOUISIANA FRIED CHICKEN,LOS ANGELES,2103 W JEFFERSON BLVD,OW0036867
FA0038381,TORUNG THAI CUISINE,LOS ANGELES,5657 HOLLYWOOD BLVD,OW0038471
FA0027371,HECHO EN MEXICO,LOS ANGELES,4976 E HUNTINGTON DR S,OW0006528
FA0255809,BIG 8,LOS ANGELES,5445 HOLLYWOOD BLVD STE A,OW0248664
FA0203821,LA COCINA DEL SERENO,LOS ANGELES,4989 HUNTINGTON DR N,OW0208938
FA0046716,SALLY'S SNACK SHOP,LOS ANGELES,228 W 6TH ST,OW0023330
FA0257552,CHINNCHI KURIN,LOS ANGELES,350 E 1ST ST,OW0238123
FA0256202,WALT'S,LOS ANGELES,4680 EAGLE ROCK BLVD,OW0248949
FA0040211,WALGREENS #06854,LOS ANGELES,2222 COLORADO BLVD,OW0038319
FA0072061,THAI ORIGINAL BBQ & REST.,LOS ANGELES,484 N WESTERN AVE,OW0100774
FA0012290,EL GALLO GRILL,LOS ANGELES,4533 E CESAR E CHAVEZ AVE,OW0013119
FA0179599,WHOLE FOODS MARKET,LOS ANGELES,770 S GRAND AVE,OW0038850
FA0180819,LA MAYOR DOMIA 2,LOS ANGELES,3315 W PICO BLVD,OW0186162
FA0058900,CAFE AT THE END OF THE UNIVERSE,LOS ANGELES,2800 E OBSERVATORY AVE,OW0039121
FA0050579,TAMAYO RESTAURANT,LOS ANGELES,5300 E OLYMPIC BLVD,OW0034917
FA0067397,NAM WON GOL,LOS ANGELES,3623 W PICO BLVD,OW0006880
FA0011492,BYBLOS,LOS ANGELES,1964 WESTWOOD BLVD STE #100,OW0039141
FA0170137,COLORADO WINE COMPANY,LOS ANGELES,2305 COLORADO BLVD,OW0177972
FA0008448,BASKET BURGER,LOS ANGELES,1264 S ATLANTIC BLVD,OW0016580
FA0047860,SAY'S RASPADOS DE FRUTAS NAT,LOS ANGELES,900 S WESTMORELAND AVE # #B,OW0013765
FA0142714,GUESS CAFE,LOS ANGELES,1901 E 15TH ST,OW0105348
FA0006936,CAFE LOFT,LOS ANGELES,3882 W 6TH ST,OW0023970
FA0026965,GUELAGUETZA,LOS ANGELES,3014 W OLYMPIC BLVD,OW0028070
FA0051801,THE TRAILS,LOS ANGELES,2333 FERN DELL DR,OW0021536
FA0030417,JESSICA'S MARKET,LOS ANGELES,3867 E HAMMEL ST,OW0013724
FA0026889,OFFICE DEPOT #896,LOS ANGELES,6446 E TELEGRAPH RD,OW0026571
FA0023953,MARROQUIN PRODUCE MEAT MARKE,LOS ANGELES,2612 N BROADWAY,OW0023489
FA0062132,FLOR BLANCA,LOS ANGELES,4400 S BROADWAY,OW0037114
FA0222878,CHUNG KING CAFE HOUSE,LOS ANGELES,4578 WHITTIER BLVD,OW0227657
FA0071171,SUBWAY,LOS ANGELES,12730 S FIGUEROA ST STE 102,OW0099682
FA0024434,FRIENDLY MARKET,LOS ANGELES,2921 E 8TH ST,OW0021715
FA0006958,CAFE SPOT,LOS ANGELES,3324 W 6TH ST # C,OW0036616
FA0257896,NORWOOD MARKET,LOS ANGELES,5070 HOLLYWOOD BLVD,OW0250200
FA0149317,PICO SEAFOOD FISH MARKET,LOS ANGELES,3601 W PICO BLVD,OW0114906
FA0159295,CHURCH OF THE EPIPHANY,LOS ANGELES,2808 ALTURA ST,OW0124308
FA0020213,KOFFEA,LOS ANGELES,610 S BERENDO ST,OW0019810
FA0002328,7-ELEVEN STORE 39023B,LOS ANGELES,4111 VENICE BLVD,OW0032658
FA0060817,DESHI FOODS INC.,LOS ANGELES,3723 W 3RD ST,OW0007904
FA0057486,ANDY PIZZA,LOS ANGELES,6700 S CENTRAL AVE,OW0023128
FA0007784,BACO MERCAT,LOS ANGELES,408 S MAIN ST,OW0022942
FA0257554,TRIPLE BEAM  PIZZA,LOS ANGELES,5918 N FIGUEROA ST,OW0249993
FA0257657,PITA HUT,LOS ANGELES,5065 HOLLYWOOD BLVD STE 102,OW0250066
FA0136786,IL SEGRETO,LOS ANGELES,2932 BEVERLY GLEN CIR,OW0099480
FA0037463,MARIA'S RESTAURANT,LOS ANGELES,307 E JEFFERSON BLVD # #129,OW0031581
FA0013216,EVA'S LECHON,LOS ANGELES,4252 W 3RD ST,OW0038132
FA0242425,AYARA LUK,LOS ANGELES,8740 SEPULVEDA BLVD # 140,OW0238046
FA0238796,BEAU BAR,LOS ANGELES,3300 W 6TH ST # 4,OW0235218
FA0066786,MEL'S PALACE BAKERY,LOS ANGELES,2708 N BROADWAY,OW0039162
FA0251884,COFFEE WALK  YOGUR TALK,LOS ANGELES,700 W 7TH ST,OW0245765
FA0245861,HAPPY FISH MARKET,LOS ANGELES,1658 W MANCHESTER AVE,OW0240834
FA0143479,LUPITA'S BAKERY,LOS ANGELES,1848 W FLORENCE AVE,OW0104749
FA0163483,CHUY'S MARKET,LOS ANGELES,4145 E MICHIGAN AVE,OW0022124
FA0179887,WAKO DONKASU,LOS ANGELES,2904 W OLYMPIC BLVD,OW0185367
FA0174339,THE PAAN,LOS ANGELES,3732 W 6TH ST,OW0181024
FA0242101,BOTTLE FISH,LOS ANGELES,11677 SAN VICENTE BLVD # 300,OW0237821
FA0222061,SLICEYS PIZZA,LOS ANGELES,3627 W PICO BLVD,OW0226980
FA0022811,FAT & FAT MARKET,LOS ANGELES,6702 S CENTRAL AVE,OW0021187
FA0137628,ADU BURGES,LOS ANGELES,8020 S VERMONT AVE,OW0100759
FA0163261,SUNNY GROCERY STORE,LOS ANGELES,2915 OLYMPIC BLVD,OW0126910
FA0175487,THE SUPER MARKET 98 PLUS,LOS ANGELES,2625 S WESTERN AVE,OW0182040
FA0177634,CBC EAGLE ROCK,LOS ANGELES,1351 COLORADO BLVD,OW0183547
FA0040019,VITO'S PIZZA,LOS ANGELES,846 N LA CIENEGA BLVD,OW0010052
FA0032244,JUAN RESTAURANT,LOS ANGELES,307 E JEFFERSON BLVD # 327,OW0018044
FA0024622,GNC C#257,LOS ANGELES,2700 COLORADO BLVD,OW0013042
FA0018384,DEL TACO # 1115,LOS ANGELES,11066 SANTA MONICA BLVD,OW0026638
