RatingID	FacilityID	ViolationID	ActivityDate	Fine	Score				
R31761	FA0064949	VL10	2020-08-12	409	92				
R48539	FA0224114	VL11	2018-07-22	121	92				
R52229	FA0022748	VL12	2019-09-16	425	92				
R29700	FA0051619	VL13	2019-02-13	410	92				
R49438	FA0017227	VL14	2019-10-22	166	92				
R67964	FA0164713	VL16	2020-03-19	166	92				
R84460	FA0051180	VL17	2018-04-26	491	92				
R12539	FA0258015	VL20	2020-08-19	381	97				
R77530	FA0052445	VL21	2019-10-08	453	97				
R35676	FA0258130	VL25	2020-09-22	158	97				
R34422	FA0258138	VL26	2018-03-07	488	92				
R43640	FA0066874	VL28	2018-11-01	219	92				
R69894	FA0066673	VL29	2018-10-07	252	92				
R72799	FA0060705	VL30	2020-07-06	488	92				
R26505	FA0245856	VL32	2019-02-20	334	92				
R24217	FA0159215	VL33	2020-07-09	344	93				
R61556	FA0011503	VL36	2018-08-10	126	93				
R11489	FA0250720	VL37	2020-07-20	491	93				
R48030	FA0158295	VL38	2019-03-09	393	93				
R14404	FA0048465	VL40	2018-04-22	343	93				
R51356	FA0257916	VL42	2019-05-06	218	93				
R14132	FA0240929	VL44	2018-10-21	298	93				
R43275	FA0044033	VL46	2019-08-07	459	92				
R11654	FA0163135	VL48	2019-08-01	243	92				
R25228	FA0045842	VL50	2018-12-04	196	92				
R14794	FA0006925	VL51	2019-04-22	347	92				
R54039	FA0258145	VL52	2020-04-12	393	92				
R39002	FA0060645	VL53	2019-10-01	162	92				
R10715	FA0255619	VL54	2019-10-01	322	94				
R60037	FA0255889	VL55	2019-07-25	318	94				
R64961	FA0026579	VL56	2018-11-18	132	94				
R70903	FA0039917	VL57	2019-05-10	385	94				
R71950	FA0160148	VL58	2018-07-17	294	94				
R20723	FA0171623	VL61	2019-08-07	287	99				
R25820	FA0037748	VL62	2020-10-25	251	97				
R75689	FA0018157	VL64	2019-08-07	204	97				
R20523	FA0049668	VL66	2020-05-15	452	97				
R71940	FA0066010	VL67	2020-09-20	121	99				
R57342	FA0038381	VL68	2019-02-13	404	97				
R17260	FA0027371	VL71	2019-11-12	286	97				
R56267	FA0255809	VL74	2019-03-22	383	97				
R51710	FA0203821	VL76	2019-02-27	432	97				
R72265	FA0046716	VL80	2018-10-02	213	97				
R31820	FA0257552	VL81	2018-11-28	283	97				
R26780	FA0256202	VL82	2018-03-15	197	90				
R70148	FA0040211	VL89	2018-09-22	301	90				
R71843	FA0072061	VL90	2020-12-05	237	90				
R80703	FA0012290	VL91	2020-06-04	317	90				
R60499	FA0179599	VL92	2018-10-08	405	90				
R49094	FA0180819	VL95	2019-08-11	352	90				
R62518	FA0058900	VL99	2019-04-19	466	90				
R55024	FA0050579	VL10	2018-03-15	110	94				
R19336	FA0067397	VL11	2020-05-24	468	94				
R85533	FA0011492	VL12	2019-04-02	208	94				
R62693	FA0170137	VL13	2019-06-01	287	94				
R30262	FA0008448	VL14	2018-11-15	365	94				
R47468	FA0047860	VL16	2020-11-14	235	94				
R63732	FA0142714	VL17	2020-03-12	309	98				
R39208	FA0006936	VL20	2018-12-05	327	98				
R82914	FA0026965	VL21	2019-06-09	336	93				
R59440	FA0051801	VL25	2020-05-25	431	93				
R43477	FA0030417	VL26	2018-10-01	193	93				
R11581	FA0026889	VL28	2019-04-09	245	93				
R66217	FA0023953	VL29	2019-02-20	378	93				
R87635	FA0062132	VL30	2018-07-26	231	93				
R61366	FA0222878	VL32	2018-10-20	212	96				
R19149	FA0071171	VL33	2018-10-12	295	96				
R42136	FA0024434	VL36	2020-06-28	155	96				
R42613	FA0006958	VL37	2018-05-07	288	93				
R45017	FA0257896	VL38	2019-07-12	458	96				
R42900	FA0149317	VL40	2019-02-15	451	97				
R31593	FA0159295	VL42	2020-02-02	293	97				
R34517	FA0020213	VL44	2018-06-05	419	97				
R13086	FA0002328	VL46	2020-02-04	293	97				
R37295	FA0060817	VL48	2019-04-10	229	97				
R85683	FA0057486	VL50	2018-03-12	397	94				
R39898	FA0007784	VL51	2018-05-16	240	94				
R10468	FA0257554	VL52	2018-10-08	407	94				
R46714	FA0257657	VL53	2018-08-06	100	90				
R49761	FA0136786	VL54	2018-12-19	182	90				
R82010	FA0037463	VL55	2019-04-10	178	90				
R72443	FA0013216	VL56	2019-02-14	471	90				
R89819	FA0242425	VL57	2020-07-25	140	90				
R32666	FA0238796	VL58	2020-11-01	122	90				
R86393	FA0066786	VL61	2020-12-10	257	92				
R45325	FA0251884	VL62	2018-03-28	196	92				
R47761	FA0245861	VL64	2020-07-22	248	92				
R71797	FA0143479	VL66	2019-07-15	426	92				
R32559	FA0163483	VL67	2019-02-11	267	92				
R35360	FA0179887	VL68	2020-05-03	175	92				
R10812	FA0174339	VL71	2020-06-03	286	92				
R67809	FA0242101	VL74	2020-02-02	221	94				
R17729	FA0222061	VL76	2020-10-22	447	94				
R64687	FA0022811	VL80	2019-09-18	102	94				
R46852	FA0137628	VL81	2018-08-07	227	94				
R71977	FA0163261	VL82	2020-07-28	142	94				
R50625	FA0175487	VL89	2020-10-14	103	94				
R20688	FA0177634	VL90	2019-03-06	400	91				
R40264	FA0040019	VL91	2019-02-09	313	91				
R58147	FA0032244	VL92	2019-08-09	226	91				
R19203	FA0024622	VL95	2019-11-06	210	91				
R79131	FA0018384	VL99	2018-03-18	102	91				
R86502	FA0020319	VL10	2019-03-25	498	96				
R33910	FA0011860	VL11	2018-04-27	427	96				
R79741	FA0014861	VL12	2020-02-06	176	96				
R14187	FA0036713	VL13	2019-10-06	314	96				
R64265	FA0028227	VL14	2020-11-25	105	90				
R21326	FA0069195	VL16	2020-07-10	328	90				
R68202	FA0166758	VL17	2020-10-20	359	90				
R15401	FA0066316	VL20	2020-12-01	268	90				
R23253	FA0057164	VL21	2018-04-06	369	90				
R55345	FA0247798	VL25	2019-05-24	127	98				
R37009	FA0041333	VL26	2020-07-17	496	90				
R33058	FA0050341	VL28	2019-09-18	422	90				
R82499	FA0034441	VL29	2020-04-22	391	90				
R53115	FA0174410	VL30	2020-11-12	147	90				
R51346	FA0039177	VL32	2020-04-06	140	90				
R68298	FA0033381	VL33	2020-10-26	260	90				
R20517	FA0159513	VL36	2018-10-06	173	90				
R37168	FA0138427	VL37	2018-06-13	461	94				
R52615	FA0064803	VL38	2020-05-22	417	94				
R74397	FA0041712	VL40	2018-08-17	146	94				
R26911	FA0009108	VL42	2020-11-16	462	94				
R84592	FA0067197	VL44	2018-02-28	318	94				
R17555	FA0240128	VL46	2018-07-07	206	94				
R51659	FA0013359	VL48	2020-09-12	275	90				
R80015	FA0057346	VL50	2019-02-18	199	90				
R57841	FA0256404	VL51	2019-04-17	148	90				
R42131	FA0164879	VL52	2019-06-08	150	90				
R47890	FA0043618	VL53	2018-06-15	280	90				
R83440	FA0010938	VL54	2018-09-12	366	90				
R57264	FA0179996	VL55	2018-08-18	411	90				
R89415	FA0071265	VL56	2019-03-17	292	90				
R30012	FA0013211	VL57	2019-08-22	283	90				
R84430	FA0156022	VL58	2019-06-08	111	91				
R53995	FA0006801	VL61	2020-08-16	165	91				
R55721	FA0149820	VL62	2019-08-10	475	91				
R85272	FA0257957	VL64	2018-07-03	161	91				
R10210	FA0064117	VL66	2018-09-28	160	91				
R11533	FA0244474	VL67	2020-11-12	318	91				
R60080	FA0035350	VL68	2018-08-14	151	91				
R15451	FA0051588	VL71	2020-12-09	467	91				
R64806	FA0059245	VL74	2020-12-09	215	96				
R43941	FA0167135	VL76	2020-10-28	139	96				
R36944	FA0056181	VL80	2018-11-07	291	96				
R42195	FA0255369	VL81	2019-11-08	136	96				
R55566	FA0177415	VL82	2019-10-04	271	93				
R18270	FA0017966	VL89	2019-03-17	202	93				
R69110	FA0160154	VL90	2018-07-14	457	93				
