RatingID	facility_id	OwnerID	ActivityDate	Fine	score
R31761	FA0064949	OW0001034	2019-12-23	121	92
R48539	FA0224114	OW0001035	2019-03-15	190	92
R52229	FA0022748	OW0001036	2020-05-14	291	92
R29700	FA0051619	OW0001037	2019-08-04	228	92
R49438	FA0017227	OW0001038	2020-04-19	156	92
R67964	FA0164713	OW0001039	2020-02-10	148	92
R84460	FA0051180	OW0001040	2018-10-18	462	92
R12539	FA0258015	OW0001041	2019-07-09	408	97
R77530	FA0052445	OW0001042	2020-12-27	432	97
R35676	FA0258130	OW0001043	2020-11-03	342	97
R34422	FA0258138	OW0001044	2019-02-22	138	92
R43640	FA0066874	OW0001045	2018-11-02	476	92
R69894	FA0066673	OW0001046	2019-04-06	295	92
R72799	FA0060705	OW0001047	2019-09-17	135	92
R26505	FA0245856	OW0001048	2018-02-27	383	92
R24217	FA0159215	OW0001049	2019-05-12	124	93
R61556	FA0011503	OW0001050	2020-11-15	393	93
R11489	FA0250720	OW0001051	2019-02-15	221	93
R48030	FA0158295	OW0001052	2020-08-18	221	93
R14404	FA0048465	OW0001053	2019-06-04	389	93
R51356	FA0257916	OW0001054	2020-05-11	423	93
R14132	FA0240929	OW0001055	2018-03-01	382	93
R43275	FA0044033	OW0001056	2018-10-23	437	92
R11654	FA0163135	OW0001057	2018-02-04	200	92
R25228	FA0045842	OW0001058	2019-05-03	294	92
R14794	FA0006925	OW0001059	2019-02-08	260	92
R54039	FA0258145	OW0001060	2020-03-16	405	92
R39002	FA0060645	OW0001061	2019-07-22	456	92
R10715	FA0255619	OW0001062	2019-04-27	246	94
R60037	FA0255889	OW0001063	2019-03-21	104	94
R64961	FA0026579	OW0001064	2018-11-12	268	94
R70903	FA0039917	OW0001065	2020-11-04	351	94
R71950	FA0160148	OW0001066	2018-10-23	282	94
R20723	FA0171623	OW0001067	2018-12-02	369	99
R25820	FA0037748	OW0001068	2020-06-27	435	97
R75689	FA0018157	OW0001069	2019-02-15	202	97
R20523	FA0049668	OW0001070	2020-08-18	470	97
R71940	FA0066010	OW0001071	2020-03-11	367	99
R57342	FA0038381	OW0001072	2019-07-01	253	97
R17260	FA0027371	OW0001073	2020-07-16	243	97
R56267	FA0255809	OW0001074	2018-09-02	123	97
R51710	FA0203821	OW0001075	2018-05-22	443	97
R72265	FA0046716	OW0001076	2019-09-05	339	97
R31820	FA0257552	OW0001077	2018-09-15	447	97
R26780	FA0256202	OW0001078	2020-08-09	116	90
R70148	FA0040211	OW0001079	2018-04-15	298	90
R71843	FA0072061	OW0001080	2018-04-25	389	90
R80703	FA0012290	OW0001081	2020-11-25	381	90
R60499	FA0179599	OW0001082	2020-11-25	247	90
R49094	FA0180819	OW0001083	2018-09-07	149	90
R62518	FA0058900	OW0001084	2018-09-08	474	90
R55024	FA0050579	OW0001085	2018-11-22	224	94
R19336	FA0067397	OW0001086	2019-10-27	392	94
R85533	FA0011492	OW0001087	2018-08-08	141	94
R62693	FA0170137	OW0001088	2020-11-05	196	94
R30262	FA0008448	OW0001089	2020-06-02	367	94
R47468	FA0047860	OW0001090	2018-05-25	201	94
R63732	FA0142714	OW0001091	2020-05-03	234	98
R39208	FA0006936	OW0001092	2018-09-22	147	98
R82914	FA0026965	OW0001093	2020-09-07	232	93
R59440	FA0051801	OW0001094	2018-11-23	120	93
R43477	FA0030417	OW0001095	2019-10-16	162	93
R11581	FA0026889	OW0001096	2018-07-01	146	93
R66217	FA0023953	OW0001097	2020-08-04	295	93
R87635	FA0062132	OW0001098	2020-08-11	322	93
R61366	FA0222878	OW0001099	2018-07-16	374	96
R19149	FA0071171	OW0001100	2019-04-20	382	96
R42136	FA0024434	OW0001101	2019-05-10	213	96
R42613	FA0006958	OW0001102	2019-03-10	276	93
R45017	FA0257896	OW0001103	2019-05-17	229	96
R42900	FA0149317	OW0001104	2020-05-27	324	97
R31593	FA0159295	OW0001105	2018-08-21	285	97
R34517	FA0020213	OW0001106	2019-08-12	140	97
R13086	FA0002328	OW0001107	2020-11-15	353	97
R37295	FA0060817	OW0001108	2020-04-27	130	97
R85683	FA0057486	OW0001109	2018-10-02	447	94
R39898	FA0007784	OW0001110	2020-10-26	193	94
R10468	FA0257554	OW0001111	2019-05-07	349	94
R46714	FA0257657	OW0001112	2018-10-18	292	90
R49761	FA0136786	OW0001113	2018-09-11	373	90
R82010	FA0037463	OW0001114	2019-03-11	351	90
R72443	FA0013216	OW0001115	2020-02-25	394	90
R89819	FA0242425	OW0001116	2020-09-11	199	90
R32666	FA0238796	OW0001117	2018-03-16	363	90
R86393	FA0066786	OW0001118	2020-04-05	176	92
R45325	FA0251884	OW0001119	2019-07-17	375	92
R47761	FA0245861	OW0001120	2019-07-06	194	92
R71797	FA0143479	OW0001121	2020-02-20	119	92
R32559	FA0163483	OW0001122	2019-08-18	213	92
R35360	FA0179887	OW0001123	2019-03-15	496	92
R10812	FA0174339	OW0001124	2018-03-10	400	92
R67809	FA0242101	OW0001125	2019-04-28	459	94
R17729	FA0222061	OW0001126	2019-11-01	439	94
R64687	FA0022811	OW0001127	2019-06-20	102	94
R46852	FA0137628	OW0001128	2018-05-23	180	94
R71977	FA0163261	OW0001129	2020-11-19	131	94
R50625	FA0175487	OW0001130	2020-02-10	300	94
R20688	FA0177634	OW0001131	2020-08-04	298	91
R40264	FA0040019	OW0001132	2019-02-03	213	91
R58147	FA0032244	OW0001133	2019-11-20	288	91
R19203	FA0024622	OW0001134	2020-12-09	417	91
R79131	FA0018384	OW0001135	2018-10-04	155	91
R86502	FA0020319	OW0001136	2018-08-19	458	96
R33910	FA0011860	OW0001137	2020-06-04	400	96
R79741	FA0014861	OW0001138	2018-12-21	453	96
R14187	FA0036713	OW0001139	2018-09-20	331	96
R64265	FA0028227	OW0001140	2018-08-24	493	90
R21326	FA0069195	OW0001141	2020-09-19	315	90
R68202	FA0166758	OW0001142	2020-07-02	126	90
R15401	FA0066316	OW0001143	2020-04-03	355	90
R23253	FA0057164	OW0001144	2019-08-21	387	90
R55345	FA0247798	OW0001145	2018-03-06	361	98
R37009	FA0041333	OW0001146	2018-02-14	285	90
R33058	FA0050341	OW0001147	2020-08-05	473	90
R82499	FA0034441	OW0001148	2019-10-23	270	90
R53115	FA0174410	OW0001149	2018-02-04	194	90
R51346	FA0039177	OW0001150	2018-04-21	109	90
R68298	FA0033381	OW0001151	2019-10-17	305	90
R20517	FA0159513	OW0001152	2020-05-11	254	90
R37168	FA0138427	OW0001153	2018-02-17	446	94
R52615	FA0064803	OW0001154	2020-06-20	231	94
R74397	FA0041712	OW0001155	2020-06-21	158	94
R26911	FA0009108	OW0001156	2019-02-21	459	94
R84592	FA0067197	OW0001157	2018-05-07	110	94
R17555	FA0240128	OW0001158	2019-03-07	272	94
R51659	FA0013359	OW0001159	2018-12-03	152	90
R80015	FA0057346	OW0001160	2020-03-07	423	90
R57841	FA0256404	OW0001161	2018-11-03	424	90
R42131	FA0164879	OW0001162	2020-10-05	438	90
R47890	FA0043618	OW0001163	2020-05-16	154	90
R83440	FA0010938	OW0001164	2019-08-14	374	90
R57264	FA0179996	OW0001165	2019-11-21	418	90
R89415	FA0071265	OW0001166	2020-06-08	154	90
R30012	FA0013211	OW0001167	2019-11-15	146	90
R84430	FA0156022	OW0001168	2019-12-25	356	91
R53995	FA0006801	OW0001169	2019-06-06	376	91
R55721	FA0149820	OW0001170	2019-08-11	145	91
R85272	FA0257957	OW0001171	2020-12-17	240	91
R10210	FA0064117	OW0001172	2019-02-06	243	91
R11533	FA0244474	OW0001173	2019-07-04	104	91
R60080	FA0035350	OW0001174	2018-12-01	339	91
R15451	FA0051588	OW0001175	2018-03-16	108	91
R64806	FA0059245	OW0001176	2018-08-03	421	96
R43941	FA0167135	OW0001177	2018-05-22	316	96
R36944	FA0056181	OW0001178	2018-12-26	431	96
R42195	FA0255369	OW0001179	2020-02-04	300	96
R55566	FA0177415	OW0001180	2020-04-06	100	93
R18270	FA0017966	OW0001181	2020-09-24	101	93
R69110	FA0160154	OW0001182	2019-12-01	389	93
R16089	FA0245874	OW0001183	2019-09-01	454	93
R53913	FA0068212	OW0001184	2019-06-01	213	93
R22694	FA0060783	OW0001185	2018-09-25	390	93
R82658	FA0239318	OW0001186	2020-03-15	351	93
R74367	FA0160129	OW0001187	2019-03-16	183	98
R24440	FA0159764	OW0001188	2020-10-02	274	98
R79859	FA0065462	OW0001189	2020-08-27	493	95
R55857	FA0043243	OW0001190	2018-11-20	245	95
R84355	FA0239961	OW0001191	2020-06-17	247	95
R63546	FA0071308	OW0001192	2020-09-17	460	95
R19044	FA0026813	OW0001193	2019-09-18	334	95
R84642	FA0068700	OW0001194	2019-08-08	167	95
R69905	FA0044442	OW0001195	2018-07-10	236	95
R86392	FA0177194	OW0001196	2020-07-16	134	90
R29202	FA0070452	OW0001197	2019-09-10	297	95
R43079	FA0245913	OW0001198	2018-08-08	370	94
R29440	FA0226286	OW0001199	2019-10-01	205	94
R28684	FA0058509	OW0001200	2020-07-28	399	94
R18257	FA0048716	OW0001201	2018-08-07	413	94
R85250	FA0061647	OW0001202	2020-09-12	452	94
R82763	FA0164788	OW0001203	2020-09-18	426	94
R81997	FA0038973	OW0001204	2020-08-05	378	93
R78299	FA0240779	OW0001205	2020-07-01	418	93
R27860	FA0020653	OW0001206	2020-07-08	148	93
R35746	FA0040525	OW0001207	2019-07-25	360	93
R73477	FA0257976	OW0001208	2019-06-07	238	93
R43999	FA0239933	OW0001209	2020-11-10	388	93
R13779	FA0071557	OW0001210	2018-11-19	256	93
R58509	FA0251353	OW0001211	2018-08-10	464	96
R35043	FA0178708	OW0001212	2019-02-15	261	96
R76129	FA0159961	OW0001213	2019-11-20	205	96
R63942	FA0009070	OW0001214	2018-06-21	472	91
R41110	FA0061432	OW0001215	2019-11-27	390	91
R48989	FA0008946	OW0001216	2020-03-21	386	91
R52839	FA0005449	OW0001217	2020-05-25	219	91
R10425	FA0242836	OW0001218	2020-10-17	370	91
R18832	FA0166695	OW0001219	2018-02-23	269	91
R19491	FA0257111	OW0001220	2019-09-07	395	91
R30304	FA0066725	OW0001221	2020-10-05	192	93
R28963	FA0029933	OW0001222	2020-05-23	439	93
