fact_table_natural_key,accm_txn_complete_time
R31761,2022-05-15 13:43:02
R48539,2022-05-14 19:29:26
R52229,2022-05-15 13:16:00
R29700,2022-05-14 05:10:01
R49438,2022-05-14 00:39:32
R67964,2022-05-15 07:18:03
R84460,2022-05-15 03:56:32
R12539,2022-05-14 11:49:39
R77530,2022-05-14 12:57:41
R35676,2022-05-14 04:16:56
R34422,2022-05-14 12:09:50
R43640,2022-05-15 09:17:28
R69894,2022-05-14 20:45:51
R72799,2022-05-15 07:38:49
R26505,2022-05-14 23:41:07
R24217,2022-05-14 06:00:57
R61556,2022-05-15 00:39:52
R11489,2022-05-15 23:33:23
R48030,2022-05-15 20:23:02
R14404,2022-05-15 18:25:46
R51356,2022-05-15 11:12:19
R14132,2022-05-15 12:02:55
R43275,2022-05-15 17:20:41
R11654,2022-05-14 02:20:21
R25228,2022-05-15 12:01:50
R14794,2022-05-14 14:09:32
R54039,2022-05-15 10:02:28
R39002,2022-05-15 03:51:28
R10715,2022-05-14 06:55:38
R60037,2022-05-14 23:24:24
R64961,2022-05-15 15:06:26
R70903,2022-05-14 03:16:27
R71950,2022-05-14 13:00:21
R20723,2022-05-15 06:56:44
R25820,2022-05-15 01:57:56
R75689,2022-05-15 13:03:25
R20523,2022-05-15 01:18:25
R71940,2022-05-14 01:55:27
R57342,2022-05-15 10:00:46
R17260,2022-05-15 09:19:02
R56267,2022-05-15 03:36:57
R51710,2022-05-15 16:25:50
R72265,2022-05-14 15:53:00
R31820,2022-05-15 16:47:12
R26780,2022-05-14 05:07:16
R70148,2022-05-14 20:08:33
R71843,2022-05-14 04:00:59
R80703,2022-05-15 09:19:10
R60499,2022-05-15 16:18:09
R49094,2022-05-15 05:51:26
R62518,2022-05-15 21:10:20
R55024,2022-05-14 07:05:10
R19336,2022-05-14 05:19:53
R85533,2022-05-14 13:21:06
R62693,2022-05-15 19:57:42
R30262,2022-05-14 16:53:29
R47468,2022-05-15 19:41:13
R63732,2022-05-15 03:52:39
R39208,2022-05-14 02:30:39
R82914,2022-05-15 00:40:33
R59440,2022-05-15 13:05:17
R43477,2022-05-15 21:23:59
R11581,2022-05-15 14:43:34
R66217,2022-05-14 11:27:46
R87635,2022-05-14 18:04:42
R61366,2022-05-15 00:15:57
R19149,2022-05-14 05:55:47
R42136,2022-05-15 17:23:20
R42613,2022-05-15 13:03:17
R45017,2022-05-14 04:29:31
R42900,2022-05-15 17:07:59
R31593,2022-05-14 09:34:50
R34517,2022-05-15 02:58:30
R13086,2022-05-15 11:56:14
R37295,2022-05-15 20:04:38
R85683,2022-05-14 04:34:55
R39898,2022-05-14 05:39:06
R10468,2022-05-14 07:21:32
R46714,2022-05-15 09:47:36
R49761,2022-05-14 13:31:58
R82010,2022-05-14 00:00:16
R72443,2022-05-15 04:56:27
R89819,2022-05-15 21:48:55
R32666,2022-05-14 08:21:57
R86393,2022-05-15 11:44:49
R45325,2022-05-14 16:53:23
R47761,2022-05-14 11:27:01
R71797,2022-05-15 03:17:25
R32559,2022-05-15 18:25:43
R35360,2022-05-15 21:33:57
R10812,2022-05-15 01:25:07
R67809,2022-05-15 20:05:29
R17729,2022-05-14 14:27:31
R64687,2022-05-14 11:45:45
R46852,2022-05-15 17:27:03
R71977,2022-05-14 00:01:20
R50625,2022-05-15 03:28:44
R20688,2022-05-14 11:42:21
R40264,2022-05-15 11:01:37
R58147,2022-05-14 01:30:43
R19203,2022-05-14 09:16:53
R79131,2022-05-14 03:38:49
R86502,2022-05-14 04:58:16
R33910,2022-05-15 17:25:40
R79741,2022-05-15 06:01:50
R14187,2022-05-15 00:50:20
R64265,2022-05-15 03:28:48
R21326,2022-05-14 18:44:51
R68202,2022-05-14 09:04:04
R15401,2022-05-15 22:19:46
R23253,2022-05-14 23:54:45
R55345,2022-05-14 14:34:09
R37009,2022-05-15 07:34:31
R33058,2022-05-14 07:47:40
R82499,2022-05-15 22:33:43
R53115,2022-05-15 03:15:34
R51346,2022-05-15 21:07:42
R68298,2022-05-15 15:53:30
R20517,2022-05-14 18:01:35
R37168,2022-05-15 07:15:00
R52615,2022-05-15 16:37:14
R74397,2022-05-15 07:37:39
R26911,2022-05-15 13:48:04
R84592,2022-05-15 09:57:26
R17555,2022-05-14 02:43:45
R51659,2022-05-15 09:49:50
R80015,2022-05-14 04:27:15
R57841,2022-05-14 11:05:00
R42131,2022-05-14 20:31:08
R47890,2022-05-14 19:00:30
R83440,2022-05-15 08:49:41
R57264,2022-05-15 09:23:40
R89415,2022-05-15 03:57:16
R30012,2022-05-15 01:58:43
R84430,2022-05-15 15:23:49
R53995,2022-05-14 18:35:15
R55721,2022-05-14 00:59:45
R85272,2022-05-14 22:33:18
R10210,2022-05-15 06:36:39
R11533,2022-05-14 19:51:33
R60080,2022-05-15 15:51:00
R15451,2022-05-14 20:45:25
R64806,2022-05-14 22:44:15
R43941,2022-05-15 18:44:17
R36944,2022-05-14 01:36:15
R42195,2022-05-14 08:50:05
R55566,2022-05-15 05:04:12
R18270,2022-05-14 04:52:38
R69110,2022-05-15 02:32:25
R16089,2022-05-14 05:48:23
R53913,2022-05-14 11:16:02
R22694,2022-05-14 19:48:56
R82658,2022-05-14 09:40:40
R74367,2022-05-15 10:17:03
R24440,2022-05-15 22:26:06
R79859,2022-05-14 01:50:22
R55857,2022-05-14 02:17:34
R84355,2022-05-14 03:24:08
R63546,2022-05-14 16:16:23
R19044,2022-05-14 09:44:15
R84642,2022-05-14 20:06:51
R69905,2022-05-14 07:06:58
R86392,2022-05-14 09:54:12
R29202,2022-05-14 12:03:58
R43079,2022-05-15 06:12:01
R29440,2022-05-14 20:52:21
R28684,2022-05-14 21:44:32
R18257,2022-05-15 14:32:25
R85250,2022-05-15 15:53:22
R82763,2022-05-14 14:13:47
R81997,2022-05-14 23:43:09
R78299,2022-05-15 03:50:26
R27860,2022-05-14 19:32:52
R35746,2022-05-15 02:37:52
R73477,2022-05-14 01:55:18
R43999,2022-05-14 16:21:15
R13779,2022-05-14 06:23:44
R58509,2022-05-14 12:11:29
R35043,2022-05-15 08:19:09
R76129,2022-05-15 12:56:56
R63942,2022-05-15 03:20:34
R41110,2022-05-14 10:26:08
R48989,2022-05-15 00:38:52
R52839,2022-05-15 16:10:54
R10425,2022-05-15 17:45:47
R18832,2022-05-14 12:18:24
R19491,2022-05-14 08:17:54
R30304,2022-05-14 10:23:53
R28963,2022-05-15 00:28:24
R52878,2022-05-15 16:33:13
R89484,2022-05-15 21:40:38
R55186,2022-05-14 12:02:44
R52607,2022-05-14 19:28:13
R85368,2022-05-15 09:01:37
R87074,2022-05-14 04:20:49
R51800,2022-05-15 00:35:43
R50841,2022-05-14 04:57:45
R70625,2022-05-15 17:50:19
R20643,2022-05-15 12:10:41
R60214,2022-05-14 08:34:12
R72454,2022-05-14 20:22:27
R50421,2022-05-15 03:24:56
R51164,2022-05-15 08:50:20
R56116,2022-05-14 06:43:30
R81471,2022-05-15 17:10:11
R58858,2022-05-14 16:58:27
R36561,2022-05-14 10:13:45
R39369,2022-05-14 22:24:23
R80021,2022-05-14 12:43:11
R80476,2022-05-15 16:37:12
R11278,2022-05-15 19:47:09
R33442,2022-05-14 03:17:56
R76030,2022-05-15 09:46:32
R39505,2022-05-14 23:45:17
R88399,2022-05-14 23:53:23
R16777,2022-05-15 17:31:29
R80519,2022-05-14 19:21:39
R69763,2022-05-14 17:58:24
R11430,2022-05-14 13:15:48
R68504,2022-05-14 05:10:13
R28518,2022-05-14 11:48:39
R29407,2022-05-14 23:16:46
R36239,2022-05-14 03:32:13
R88091,2022-05-14 10:56:00
R56525,2022-05-15 21:07:04
R83744,2022-05-14 01:20:40
R58753,2022-05-14 12:40:04
R10314,2022-05-14 07:04:52
R21954,2022-05-14 01:36:05
R67946,2022-05-14 20:27:19
R42632,2022-05-14 02:20:31
R33402,2022-05-15 09:40:03
R66631,2022-05-14 17:29:22
R52168,2022-05-15 18:45:07
R69603,2022-05-15 05:31:53
R49551,2022-05-15 10:36:13
R11573,2022-05-14 23:12:30
R26183,2022-05-15 17:14:05
R87836,2022-05-14 06:56:07
R34365,2022-05-14 01:10:05
R70867,2022-05-14 13:49:51
R16010,2022-05-14 04:43:46
R35077,2022-05-15 20:42:17
R70883,2022-05-15 12:04:40
R80628,2022-05-14 17:13:00
R66457,2022-05-14 05:29:20
R85921,2022-05-15 05:52:01
R15584,2022-05-15 00:54:06
R74916,2022-05-15 18:05:15
R61455,2022-05-15 04:49:37
R67097,2022-05-14 09:51:58
R53530,2022-05-15 13:10:17
R70779,2022-05-14 23:44:10
R84621,2022-05-15 01:43:45
R71441,2022-05-14 06:09:36
R72651,2022-05-14 07:30:52
R74716,2022-05-15 10:49:53
R89400,2022-05-14 12:14:52
R16571,2022-05-15 16:32:55
R29648,2022-05-14 11:00:44
R46743,2022-05-14 04:07:24
R15752,2022-05-14 07:33:46
R76786,2022-05-14 03:14:56
R47633,2022-05-15 17:16:11
R72912,2022-05-14 14:02:38
R64197,2022-05-15 23:22:45
R17157,2022-05-15 21:39:24
R14674,2022-05-14 20:24:28
R30372,2022-05-14 08:34:15
R21123,2022-05-15 01:23:14
R15692,2022-05-15 09:46:57
R86380,2022-05-14 23:04:31
R29223,2022-05-14 15:38:00
R58947,2022-05-15 06:24:22
R45577,2022-05-15 11:22:18
R80235,2022-05-14 13:33:20
R13179,2022-05-15 00:14:45
R68761,2022-05-15 14:47:06
R59246,2022-05-15 21:57:57
R76068,2022-05-14 21:49:42
R63455,2022-05-14 11:59:16
R69369,2022-05-14 06:39:12
R83402,2022-05-15 01:21:29
R51127,2022-05-14 11:32:03
R48379,2022-05-14 23:55:00
R37693,2022-05-14 02:08:58
R22736,2022-05-14 15:49:40
R29205,2022-05-15 08:31:10
R20223,2022-05-14 22:00:16
R83419,2022-05-15 00:59:36
R35592,2022-05-15 18:40:44
R89749,2022-05-15 03:11:32
R86349,2022-05-15 19:49:38
R23347,2022-05-15 11:36:10
R51037,2022-05-14 18:19:42
R32641,2022-05-15 21:00:52
R48093,2022-05-14 01:01:02
R62053,2022-05-14 16:04:16
R50990,2022-05-14 21:07:41
R49703,2022-05-14 06:34:04
R76921,2022-05-15 09:50:04
R30103,2022-05-14 02:23:02
R27256,2022-05-14 08:53:35
R41033,2022-05-15 07:46:02
R74294,2022-05-14 13:01:08
R44300,2022-05-15 15:36:45
R28846,2022-05-14 19:55:40
R73963,2022-05-15 02:32:09
R10848,2022-05-15 07:22:35
R61496,2022-05-15 14:02:46
R85877,2022-05-15 06:33:23
R25781,2022-05-15 09:44:15
R49142,2022-05-14 01:55:08
R41327,2022-05-15 22:36:35
R79666,2022-05-14 13:36:38
R54852,2022-05-14 07:53:23
R84926,2022-05-14 05:33:28
R18332,2022-05-15 05:47:26
R61308,2022-05-15 02:19:17
R10255,2022-05-14 07:08:10
R40182,2022-05-15 10:02:48
R44723,2022-05-15 11:35:31
R80992,2022-05-15 16:20:30
R64332,2022-05-15 19:11:34
R62280,2022-05-14 13:25:44
R70083,2022-05-15 16:14:02
R83930,2022-05-14 21:26:01
R77706,2022-05-15 06:44:20
R55234,2022-05-15 12:58:45
R53709,2022-05-14 11:42:43
R38991,2022-05-15 21:02:03
R21617,2022-05-15 07:34:27
R80001,2022-05-14 14:48:24
R32743,2022-05-15 16:44:12
R62663,2022-05-15 00:59:24
R55171,2022-05-14 23:05:11
R27970,2022-05-14 03:53:11
R79509,2022-05-15 08:30:18
R17258,2022-05-14 21:34:23
R56589,2022-05-14 20:22:37
R67852,2022-05-14 06:24:51
R20791,2022-05-15 00:32:56
